"city","area","count"
"本溪市","平山区","1"
"咸宁市","通山县","1"
"汕头市","龙湖区","1"
"玉林市","博白县","1"
"邯郸市","馆陶县","1"
"赣州市","瑞金市","1"
"牡丹江市","东宁市","1"
"黄石市","下陆区","1"
"凉山彝族自治州","西昌市","1"
"温州市","乐清市","1"
"襄阳市","宜城市","1"
"常德市","鼎城区","1"
"台州市","温岭市","1"
"黔南布依族苗族自治州","都匀市","1"
"衡阳市","衡南县","1"
"朝阳市","北票市","1"
"湖州市","德清县","1"
"郴州市","安仁县","1"
"西宁市","城西区","1"
"德州市","宁津县","1"
"乌兰察布市","集宁区","1"
"成都市","彭州市","1"
"德州市","夏津县","1"
"吉林市","桦甸市","1"
"营口市","盖州市","1"
"攀枝花市","东区","1"
"唐山市","玉田县","1"
"沧州市","黄骅市","1"
"石嘴山市","惠农区","1"
"永州市","道县","1"
"济南市","钢城区","1"
"包头市","固阳县","1"
"广元市","利州区","1"
"河源市","东源县","1"
"曲靖市","师宗县","1"
"临沧市","镇康县","1"
"衡水市","武邑县","1"
"宜春市","袁州区","1"
"毕节市","大方县","1"
"酒泉市","玉门市","1"
"湛江市","赤坎区","1"
"焦作市","博爱县","1"
"喀什地区","巴楚县","1"
"楚雄彝族自治州","大姚县","1"
"阳泉市","城区","1"
"抚州市","崇仁县","1"
"新乡市","牧野区","1"
"梅州市","大埔县","1"
"丽江市","永胜县","1"
"岳阳市","云溪区","1"
"永州市","双牌县","1"
"邯郸市","涉县","1"
"肇庆市","广宁县","1"
"抚州市","南丰县","1"
"杭州市","富阳区","1"
"黄山市","黄山区","1"
"开封市","祥符区","1"
"临沂市","莒南县","1"
"自贡市","沿滩区","1"
"肇庆市","德庆县","1"
"安顺市","西秀区","1"
"黄石市","黄石港区","1"
"聊城市","阳谷县","1"
"吉林市","蛟河市","1"
"廊坊市","固安县","1"
"玉林市","福绵区","1"
"镇江市","京口区","1"
"眉山市","丹棱县","1"
"郑州市","巩义市","1"
"随州市","广水市","1"
"黔西南布依族苗族自治州","兴仁市","1"
"昭通市","镇雄县","1"
"赤峰市","翁牛特旗","1"
"洛阳市","西工区","1"
"安阳市","龙安区","1"
"沧州市","泊头市","1"
"新余市","渝水区","1"
"沈阳市","于洪区","1"
"阜新市","细河区","1"
"临夏回族自治州","康乐县","1"
"九江市","彭泽县","1"
"铜仁市","碧江区","1"
"株洲市","天元区","1"
"亳州市","利辛县","1"
"柳州市","鹿寨县","1"
"宜昌市","西陵区","1"
"秦皇岛市","昌黎县","1"
"湛江市","廉江市","1"
"郴州市","永兴县","1"
"荆门市","掇刀区","1"
"丹东市","振安区","1"
"哈尔滨市","双城区","1"
"吕梁市","中阳县","1"
"开封市","杞县","1"
"铁岭市","昌图县","1"
"柳州市","融水苗族自治县","1"
"商丘市","民权县","1"
"湖州市","长兴县","1"
"芜湖市","湾沚区","1"
"遵义市","正安县","1"
"南充市","蓬安县","1"
"福州市","罗源县","1"
"苏州市","相城区","1"
"韶关市","南雄市","1"
"泸州市","泸县","1"
"镇江市","丹徒区","1"
"梧州市","万秀区","1"
"亳州市","涡阳县","1"
"大理白族自治州","巍山彝族回族自治县","1"
"沧州市","东光县","1"
"洛阳市","汝阳县","1"
"淮安市","淮安区","1"
"铜川市","耀州区","1"
"盐城市","大丰区","1"
"铜陵市","铜官区","1"
"蚌埠市","五河县","1"
"达州市","通川区","1"
"临沧市","凤庆县","1"
"酒泉市","肃北蒙古族自治县","1"
"酒泉市","瓜州县","1"
"盐城市","建湖县","1"
"阿克苏地区","库车市","1"
"开封市","禹王台区","1"
